,"
    2020 Main Round ATAR/OP
    :
",Duration:,Study_Mode,Location:,2020 Main Round ATAR/OP,CRICOS,2020 Main Round ATAR/OP    ,Website,Duration,Brisbane_International_Start_Date,Available to:,Description,Course,CRICOS:,Location,"
",Available to,Melbourne_International_Start_Date,North_Sydney_International_Start_Date
.,Melbourne  (58.50) Strathfield  (58.50),<strong>Minimum duration:</strong> .,Campus availability,"


Melbourne  


Strathfield  



",Melbourne  (58.50) North Sydney  (58.50),099393D,Melbourne  (70.00) North Sydney  (70.00),https://courses.acu.edu.au/undergraduate/bachelor_of_psychological_sciencebachelor_of_arts,.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Domestic and International students.,"ACU’s undergraduate psychology programs help students to acquire knowledge, assimilate conceptual understandings and develop skills of application that are valuable to the enhancement of human functioning in a broad range of professional settings. Graduates of the Bachelor of Psychological Science will complete a sequence in psychology that is accredited by the Australian Psychology Accreditation Council (APAC). This sequence will ensure graduates acquire an advanced understanding of human behaviour, as well as highly regarded employability skills, including: This learning helps to prepare all students for optional further postgraduate study which may lead to registration as a professional psychologist. The Bachelor of Arts degree is designed to produce knowledgeable, articulate and innovative graduates recognised by their skills to think systematically and critically, gather and evaluate evidence from many and diverse sources, communicate clearly, and apply ethical principles to decision making for variety of professional and industries. The program offers the choice of more than 20 majors and minors in the humanities, social sciences and visual and performing arts to encourage students to design their own academic program that reflects their intellectual interests and career aspirations. Our graduates will make meaningful contributions to improving the outcomes of clients, customers, colleagues and collaborators in a diverse range of settings including, but not limited to: government departments, private sector, schools, business, and not-for-profit organisations.",Bachelor of Psychological Science/Bachelor of Arts,098379K,Brisbane  Melbourne  North Sydney,,Domestic and International students.," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",null
.,Melbourne  (58.50) Strathfield  (58.50),.,Campus availability,"


Melbourne  


Strathfield  



",Melbourne  (70.00) North Sydney  (70.00),098379K,Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_psychological_sciencebachelor_of_commerce,<strong>Minimum duration:</strong> .," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Domestic and International students.,"ACU's undergraduate psychology programs help students to acquire knowledge, assimilate conceptual understandings and develop skills of application that are valuable to the enhancement of human functioning in a broad range of professional settings. Graduates of the Bachelor of Psychological Science will complete a sequence in psychology that is accredited by the Australian Psychology Accreditation Council (APAC). This sequence will ensure graduates acquire an advanced understanding of human behaviour, as well as highly regarded employability skills, including: This learning helps to prepare all students for optional further postgraduate study which may lead to registration as a professional psychologist. Therefore, the aims of ACU's Bachelor of Psychological Science are to: Our graduates will make meaningful contributions to improving the outcomes of clients, customers, colleagues and collaborators in a diverse range of settings including, but not limited to: government departments, private sector, schools, business, and not-for-profit organisations. The Bachelor of Commerce provides excellent grounding in many areas of business as well as detailed knowledge and skills in your selected major – human resource management, management or marketing. Our graduates understand the ethical, social, political and economic contexts that guide decision-making. The Bachelor of Commerce will not only help you launch your business career but also prepare you for future managerial positions.",Bachelor of Psychological Science/Bachelor of Commerce,098380F,Melbourne  Strathfield,,Domestic and International students.," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",null
.,Melbourne  (58.50) Strathfield  (58.50),<strong>Minimum duration</strong> .,Campus availability,"


Melbourne  


Strathfield  



",Melbourne  (58.50) Strathfield  (58.50),098380F,Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_psychological_sciencebachelor_of_exercise_and_sports_science,.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Domestic and International students.,"Psychology and exercise science share a common goal of assisting individuals and groups to optimise their functioning and performance, and the combined knowledge of these two disciplines will equip graduates of this double degree to provide high quality services to their clients. Exercise scientists working with clinical populations and high performance athletes will benefit from the knowledge and skills gained from many core topics within psychology, including motivation, emotion, individual differences, psychological disorders, and decision making. ACU's undergraduate psychology programs help students to acquire knowledge, assimilate conceptual understandings and develop skills of application that are valuable to the enhancement of human functioning in a broad range of professional settings. Graduates of the Bachelor of Psychological Science will complete a sequence in psychology that is accredited by the Australian Psychology Accreditation Council (APAC). This sequence will ensure graduates acquire an advanced understanding of human behaviour, as well as highly regarded employability skills, including: The Bachelor of Exercise and Sports Science progresses students from foundation knowledge, understanding and skills in human anatomy, physiology and the sub-disciplines of Exercise Science, into their application in movement, exercise and sporting contexts, such as exercise testing, prescription and delivery. Students are then progressed into authentic learning experiences in which they can integrate their evidence-based learnings and scope of practice in applied, industry-based settings. This professional practice provides students with the opportunity to reflect upon their transition from learning to practitioner. The course has qualifying accreditation status with Exercise and Sports Science Australia. Our graduates will make meaningful contributions to improving the outcomes of clients, customers, colleagues and collaborators in a diverse range of settings including, but not limited to: government departments, private sector, schools, business, and not-for-profit organisations.",Bachelor of Psychological Science/Bachelor of Exercise and Sports Science,098381E,Melbourne  Strathfield,,Domestic and International students.," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",null
.,Melbourne  (70.00) North Sydney  (70.00),.,Campus availability,"


Melbourne  


North Sydney  



",Melbourne  (58.50) Strathfield  (58.50),098381E,Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_psychological_sciencebachelor_of_laws,<strong>Minimum duration</strong> .," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Domestic and International students.,"The Bachelor of Psychological Science/Bachelor of Laws combines the study of human behaviour with the study of the law. This double degree is designed to produce well-rounded graduates ready for legal practice and a range of professional careers in an increasingly global environment. As a graduate you can pursue a range of legal careers including private practice as a solicitor or barrister; legal officer in the public sector; in-house counsel for a wide range of organisations including corporations, regulatory authorities and NGOs. You will be well placed to develop specialist legal practice in a wide range of fields including forensic psychology; litigation; terrorism studies; and industrial law and management. The program combines the study of human behaviour with the study of law. The Psychological Science component enhances the student’s specialist knowledge by providing a comprehensive understanding of psychology, including behavioural and mental processes. It offers an Australian Psychology Accreditation Council (APAC) sequence in psychology. As part of this degree you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good.",Bachelor of Psychological Science/Bachelor of Laws,089312D,Melbourne  Strathfield,,Domestic and International students.," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 21-Feb-2022
     #435858",null
.,Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),<strong>Minimum duration:</strong> .,Campus availability,"


Brisbane  


Melbourne  


Strathfield  



",Melbourne  (58.50) Strathfield  (58.50),089312D,Melbourne  (70.00) North Sydney  (70.00),https://courses.acu.edu.au/undergraduate/bachelor_of_theologybachelor_of_global_studies,.," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Domestic and International students.,"The Bachelor of Theology/Bachelor of Global Studies is a double degree for people not only interested in theology but also the global social, political, cultural, environmental and economic changes. This course offers an international education, with students recommended to study abroad and/or do an internship that provides international work experience and networks. The Bachelor of Theology/Bachelor of Global Studies offers students with a unique opportunity to study abroad (ACU has over 60 partner institutions around the world), or gain valuable international workplace experience with one of our internship partners. Students will also study the Catholic theological tradition with an ecumenical and inter-faith perspective, as well as its relationship to other traditions and the potential for responding to the demands of the present and future. Students have the opportunity to study a Diploma of Languages in either Spanish or Italian alongside their degree to further enhance their employment opportunities.",Bachelor of Theology/Bachelor of Global Studies,074608M,Melbourne  North Sydney,,Domestic and International students.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844"," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 26-Jul-2021
     #435872
   #435872
, 21-Feb-2022
     #435872
   #435872
, 18-Jul-2022
     #435872"
.,Melbourne  (70.00) North Sydney  (70.00),.,Campus availability,"


Brisbane  


Melbourne  


North Sydney  



",Melbourne  (70.00) North Sydney  (70.00),074608M,Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_theologybachelor_of_laws,<strong>Minimum duration:</strong> .," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Domestic and International students.,"This unique double degree provides a legal education informed by Christian values and an education in theology that is orientated to the professional values and practice of law. The degree focuses on ethical behaviour, social justice, the common good and the law’s interaction with theology. In addition to the wide range of careers open to graduates of the Bachelor of Laws, completion of this double degree is excellent preparation for careers in: As part of this degree you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good.",Bachelor of Theology/Bachelor of Laws,079440A,Brisbane  Melbourne  Strathfield,,Domestic and International students.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844"," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858"
.,Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),<span> 4 years full-time or equivalent part-time.</span>,Campus availability,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


Strathfield  



",Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),079440A,Melbourne  (70.00) North Sydney  (70.00),https://courses.acu.edu.au/undergraduate/bachelor_of_theology_bachelor_of_philosophy,.," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Domestic and International students.,"This unique double degree provides students with the broad knowledge, skills and flexibility offered by a liberal arts program, but enhanced by a specialised focus on theology and philosophy. Studying theology and philosophy will equip students with an understanding of the foundations of the modern world and Western civilisation, enhancing their ability to critically engage with and respond to the key challenges faced by today's societies, governments and organisations. Global experience is strongly encouraged, with study abroad opportunities available at the ACU Rome Centre, with one of our partner institutions in Europe or the United States, or in Israel with a study tour. Students develop the skills necessary to become attentive and careful interpreters of historical and contemporary texts and contexts, and to critically examine complex and confronting issues. Students also enhance their capacity to evaluate and discriminate between multiple viewpoints, and to develop and articulate compelling arguments – both orally and in writing.",Bachelor of Theology/Bachelor of Philosophy,089311E,Brisbane  Melbourne  North Sydney,,Domestic and International students.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844"," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 26-Jul-2021
     #435872
   #435872
, 21-Feb-2022
     #435872
   #435872
, 18-Jul-2022
     #435872"
.,,.,Campus availability,"


Brisbane  


Melbourne  


North Sydney  


Strathfield  



",Melbourne  (70.00) North Sydney  (70.00),089311E,Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/other_courses/certificate_in_commerce,<span> 4 years full-time or equivalent part-time.</span>,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Domestic students only.,"For those ambitious individuals keen to get an entry to a business qualification, but who may not be able to get into university in the usual way, then the Certificate in Commerce could be the answer. You may be able to study at ACU using the Certificate in Commerce as an alternative entry pathway.",Certificate in Commerce,,Ballarat  Brisbane  Canberra  Melbourne  Strathfield,,Domestic and International students.,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844","(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 26-Jul-2021     #435872   #435872, 21-Feb-2022     #435872   #435872, 18-Jul-2022     #435872"
.,,.,Campus availability,"


Brisbane  


Melbourne  


Strathfield  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),089311E,,https://courses.acu.edu.au/other_courses/certificate_in_liberal_arts,.,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Domestic students only.,"The Certificate in Liberal Arts normally takes one semester of full-time study or equivalent part-time study. Students completing the Certificate choose 40 cp (four units) from a wide range of Arts disciplines, subject to campus availability. For the discipline areas available, refer to the ACU Bachelor of Arts Course Rules (Arts Sequences).The Certificate is a non-award course.",Certificate in Liberal Arts,,Brisbane  Melbourne  North Sydney  Strathfield,,Domestic students only.,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844","(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 26-Jul-2021     #435872   #435872, 21-Feb-2022     #435872   #435872, 18-Jul-2022     #435872"
.,,.,Campus availability,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


Strathfield  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),089311E,,https://courses.acu.edu.au/other_courses/certificate_in_philosophy,.,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Domestic students only.,"The Certificate in Philosophy is for those who want to pursue an interest in philosophy or update their existing knowledge. Students can undertake units available in the Bachelor of Theology/Bachelor of Philosophy. The Certificate in Philosophy is an alternative pathway into the Bachelor of Theology/Bachelor of Philosophy for domestic, fee-paying students (credits can be granted for the units already undertaken).",Certificate in Philosophy,,Brisbane  Melbourne  Strathfield,,Domestic students only.,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844","(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 26-Jul-2021     #435872   #435872, 21-Feb-2022     #435872   #435872, 18-Jul-2022     #435872"
.,,.,Campus availability,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


Strathfield  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),089311E,,https://courses.acu.edu.au/other_courses/certificate_in_theology,.,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Domestic students only.,"The Certificate in Theology is for those who want to pursue an interest in theology or update their existing knowledge. It also provides an alternative pathway into the Bachelor of Theology for domestic, fee-paying students. Credits can be granted for the units already undertaken.",Certificate in Theology,,Ballarat  Brisbane  Canberra  Melbourne  Strathfield,,Domestic students only.,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844","(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 26-Jul-2021     #435872   #435872, 21-Feb-2022     #435872   #435872, 18-Jul-2022     #435872"
.,,.,Deferment ,"


North Sydney  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),089311E,,https://courses.acu.edu.au/other_courses/diploma_in_business_information_systems,.," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",International students only.,The Diploma in Business Information Systems provides a broad understanding of key commercial and business concepts. It allows students to study units (subjects) in the Bachelor of Information Technology course and acts as an alternative pathway into the Bachelor of Information Technology degree. If you complete this diploma successfully you can then enter the Bachelor degree and be given credit for the units (subjects) you’ve already done. The Diploma in Business Information Systems offers international students: You will also learn about:,Certificate in Theology,063898J,Ballarat  Brisbane  Canberra  Melbourne  Strathfield,,Domestic students only.,null,null
.,,.,Deferment ,"


Brisbane  


Melbourne  


North Sydney  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),063898J,,https://courses.acu.edu.au/other_courses/diploma_in_commerce,.," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",International students only.,"The Diploma in Commerce provides a broad understanding of key commercial and business concepts. It allows students to study units (subjects) in the Bachelor of Commerce course and acts as an alternative pathway into the Bachelor of Commerce, Bachelor of Business Administration or Bachelor of Accounting and Finance degrees.  I f you complete this diploma successfully you can then enter one of those Bachelor degrees.  Furthermore, you will be given credit for the units (subjects) you’ve already done. The Diploma in Commerce offers you: English language classes for international students You will also study units (subjects) such as:",Certificate in Theology,072325E,North Sydney,,International students only.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844"," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858"
.,,,Campus availability,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


Online  


Strathfield  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),072325E,,https://courses.acu.edu.au/other_courses/postgraduate-cross-institutional_fed,.,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Domestic students only.,If you are enrolled in a program at another university you can apply to study one or more units as a cross-institutional student for credit towards an award at your ‘home’ institution. You must satisfy any unit prerequisites and your enrolment will be subject to all the provisions of the Academic Regulations. If you are enrolled on a cross-institutional basis you will be formally assessed in the units in which you are enrolled just as if you were studying at your ‘home’ institution.,Postgraduate Education and Arts - Cross-institutional Study,,Brisbane  Melbourne  North Sydney,,International students only.,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844","(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858"
.,,,Campus availability,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


North Sydney  


Strathfield  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),072325E,,https://courses.acu.edu.au/other_courses/postgraduate_health_sciences_-_cross-institutional_study,.,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Domestic students only.,If you are enrolled in a program at another university you can apply to study one or more units as a cross-institutional student for credit towards an award at your ‘home’ institution. You must satisfy any unit prerequisites and your enrolment will be subject to all the provisions of the Academic Regulations. If you are enrolled on a cross-institutional basis you will be formally assessed in the units in which you are enrolled just as if you were studying at your ‘home’ institution.,Postgraduate Health Sciences - Cross-institutional Study,,Ballarat  Brisbane  Canberra  Melbourne  Online  Strathfield,,Domestic students only.,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844","(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858"
.,,,Campus availability,"


Adelaide  


Ballarat  


Brisbane  


Canberra  


Melbourne  


Online  


Strathfield  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),072325E,,https://courses.acu.edu.au/other_courses/postgraduate-cross-institutional_ftp,.,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Domestic students only.,If you are enrolled in a program at another university you can apply to study one or more units as a cross-institutional student for credit towards an award at your ‘home’ institution. You must satisfy any unit prerequisites and your enrolment will be subject to all the provisions of the Academic Regulations. If you are enrolled on a cross-institutional basis you will be formally assessed in the units in which you are enrolled just as if you were studying at your ‘home’ institution.,Postgraduate Theology - Cross-institutional Study,,Ballarat  Brisbane  Canberra  Melbourne  North Sydney  Strathfield,,Domestic students only.,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844","(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858"
.,,.,Campus availability,"


Strathfield  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),072325E,,https://courses.acu.edu.au/undergraduate/associate_degree_in_inclusive_education_and_disability_studies,.," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",Domestic and International students.,"This course is for students who want a career in disability or human service management. It’s one of the few opportunities to take a university course in this area. This associate degree also acts as a pathway course into the Bachelor of Inclusive Education and Disability Studies for those who don’t currently meet the entry requirements. Students will develop a holistic view of disability and the social structures that influence learning and development for people with special needs. This includes areas such as: Students can tailor the course to their interests by selecting topics in assessment tasks, fieldwork components and the selection of specialisation subject units. The majority of assessments are assignment or project based to help integrate practice and theory.",Associate Degree in Inclusive Education and Disability Studies,055934K,Adelaide  Ballarat  Brisbane  Canberra  Melbourne  Online  Strathfield,,Domestic students only.,null,null
.,,.,Campus availability,"


Ballarat  


Blacktown  


Brisbane  


Canberra  


Melbourne  


North Sydney  


Strathfield  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),055934K,,https://courses.acu.edu.au/other_courses/diploma_in_educational_studies_tertiary_preparation,.," (pos1#435806#435899:  

22-Feb-2021

     (pos1#435806
   #435802#435899:  
, 21-Feb-2022   #435802",Domestic and International students.,"The Diploma in Educational Studies (Tertiary Preparation) is designed for domestic and international students who want to undertake a pre-service teacher degree in early childhood, primary, or secondary education but do not currently meet the subject requirements or entry rank for the initial teacher education course. By completing this pathway course you may be eligible to enter the relevant bachelor degree and gain credit for units successfully completed that are beyond the stated prerequisite requirements. The Diploma in Educational Studies (Tertiary Preparation) is also available by direct entry application to Aboriginal and Torres Strait Islander students in Away From Base mode. Our early childhood and primary units are only available in this study mode.",Diploma in Educational Studies (Tertiary Preparation),093165J,Strathfield,,Domestic and International students.," (pos1#2358763#2358773:  

22-Feb-2021

     (pos1#2358763"," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816"
.,,.,Campus availability,"


Brisbane  


Strathfield  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),093165J,,https://courses.acu.edu.au/other_courses/diploma_in_educational_studies_tertiary_preparation_away_from_base_mode,.,"(pos1#435806#435899:  22-Feb-2021     (pos1#435806   #435802#435899:  , 21-Feb-2022   #435802",Domestic students only.,"The Diploma in Educational Studies (Tertiary Preparation) is available by direct entry application to Aboriginal and Torres Strait Islander students in Away From Base mode. Early Childhood and Primary units only available in this study mode. This study mode allows students to live and work in their local community, while studying and attending 4 residentials of one week each on campus throughout the year.",Diploma in Educational Studies (Tertiary Preparation) (Away from Base Mode),,Ballarat  Blacktown  Brisbane  Canberra  Melbourne  North Sydney  Strathfield,,Domestic and International students.,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816"
.,,<strong>Minimum duration:</strong> .,Campus availability,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


North Sydney  


Strathfield  



",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),093165J,,https://courses.acu.edu.au/other_courses/diploma_in_languages,.,"(pos1#435806#435899:  22-Feb-2021     (pos1#435806   #435802#435899:  , 21-Feb-2022   #435802",Domestic students only.,"Give yourself a professional edge by adding Italian or Spanish to your skill set. As an ACU graduate with fluency in an additional language, you will position yourself for success in today’s competitive global employment market. As well as language skills, you will have a deeper understanding of intercultural communication and possess the ability to interact and negotiate appropriately and respectfully across a range of cultures. ACU offers undergraduate students across all faculties the opportunity to complete a Diploma in Languages in conjunction with an ACU undergraduate degree so that you graduate with a bachelor degree and a diploma in the same timeframe. The course is part time, so you take one language unit in any study period. Units are offered in Professional Term 1, Semester 1 and Semester 2. The diploma is open to members of the university and to the community, and individual language units can also be taken on a non-award basis. The Diploma in Languages focuses on developing communicative language skills through active practice.",Diploma in Languages,,Brisbane  Strathfield,,Domestic students only.,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816"
