,Duration:,Available to,"
",Location:,International_Course_Cost,CRICOS:,Domestic_Course_Price,2020 Main Round ATAR/OP,Available to:,"
    2020 Main Round ATAR/OP
    :
",2020 Main Round ATAR/OP    ,Website,Course,Study_Mode,Brisbane_International_Start_Date,Location,Melbourne_International_Start_Date,Duration,CRICOS,North_Sydney_International_Start_Date,Description
ATAR/OP not available for new courses.,5 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $3825.00 (2021) Average first year fee: $30600.00 (2021) Estimated Total Cost: $153000.00 (2021),099393D,"Average first year fee:
    $8916 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Ballarat  (75.00) Brisbane  (14/70) Canberra  (85.00),Domestic and International students.,Melbourne  (70.00) North Sydney  (70.00),Melbourne  (58.50) North Sydney  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_philosophybachelor_of_laws,Bachelor of Philosophy/Bachelor of Laws,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Melbourne  North Sydney," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",4 years full-time or equivalent part-time.,095926A," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","The Bachelor of Philosophy/Bachelor of Laws has been designed to produce graduates who are well-trained in legal theory and practice, knowledgeable in philosophical and ethical issues related to the law, and skilled in textual analysis, argumentation and communication. As a graduate, you can aspire to a range of professional careers in an increasingly global environment. As a graduate you can pursue a range of legal careers including private practice as a solicitor or barrister; legal officer in the public sector; in-house counsel for a wide range of organisations including corporations, regulatory authorities and NGOs; education; government administration; media and communications; public policy development; and in commerce and industry. While undertaking your legal studies, you will also be undertaking core and elective studies in various areas of Philosophy, such as ethics, epistemology (theory of knowledge), jurisprudence (philosophy of law), theories of human nature, social and political philosophy, logic, and the history of philosophy. In this way, you will develop keen insight into the broader context within which the law operates, an enhanced awareness of the complexities of legal theory and practice, as well as the kinds of analytical skills needed in contemporary legal practice contexts. Should you wish to do so, there is also provision within the flexible program to undertake studies in other areas of the humanities. As part of this degree you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good."
ATAR/OP not available for new courses.,<strong>Minimum duration:</strong> Minimum duration: 4 years full-time or equivalent part-time,Domestic and International students.,,"


Melbourne  


Strathfield  



",Unit Fee: $3042.00 (2021) Average first year fee: $24336.00 (2021) Estimated Total Cost: $97344.00 (2021),098379K,"Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (58.50) North Sydney  (58.50),Domestic and International students.,Melbourne  (58.50) Strathfield  (58.50),Melbourne  (70.00) North Sydney  (70.00),https://courses.acu.edu.au/undergraduate/bachelor_of_psychological_sciencebachelor_of_arts,Bachelor of Psychological Science/Bachelor of Arts,Campus availability," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Brisbane  Melbourne  North Sydney," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",5 years full-time or equivalent part-time.,099393D,null,"ACU’s undergraduate psychology programs help students to acquire knowledge, assimilate conceptual understandings and develop skills of application that are valuable to the enhancement of human functioning in a broad range of professional settings. Graduates of the Bachelor of Psychological Science will complete a sequence in psychology that is accredited by the Australian Psychology Accreditation Council (APAC). This sequence will ensure graduates acquire an advanced understanding of human behaviour, as well as highly regarded employability skills, including: This learning helps to prepare all students for optional further postgraduate study which may lead to registration as a professional psychologist. The Bachelor of Arts degree is designed to produce knowledgeable, articulate and innovative graduates recognised by their skills to think systematically and critically, gather and evaluate evidence from many and diverse sources, communicate clearly, and apply ethical principles to decision making for variety of professional and industries. The program offers the choice of more than 20 majors and minors in the humanities, social sciences and visual and performing arts to encourage students to design their own academic program that reflects their intellectual interests and career aspirations. Our graduates will make meaningful contributions to improving the outcomes of clients, customers, colleagues and collaborators in a diverse range of settings including, but not limited to: government departments, private sector, schools, business, and not-for-profit organisations."
ATAR/OP not available for new courses.,4 years full-time or equivalent part-time.,Domestic and International students.,,"


Melbourne  


Strathfield  



",Unit Fee: $3349.00 (2021) Average first year fee: $26792.00 (2021) Estimated Total Cost: $107168.00 (2021),098380F,"Average first year fee:
    $8357 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (70.00) North Sydney  (70.00),Domestic and International students.,Melbourne  (58.50) Strathfield  (58.50),Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_psychological_sciencebachelor_of_commerce,Bachelor of Psychological Science/Bachelor of Commerce,Campus availability," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Melbourne  Strathfield," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",<strong>Minimum duration:</strong> Minimum duration: 4 years full-time or equivalent part-time,098379K,null,"ACU's undergraduate psychology programs help students to acquire knowledge, assimilate conceptual understandings and develop skills of application that are valuable to the enhancement of human functioning in a broad range of professional settings. Graduates of the Bachelor of Psychological Science will complete a sequence in psychology that is accredited by the Australian Psychology Accreditation Council (APAC). This sequence will ensure graduates acquire an advanced understanding of human behaviour, as well as highly regarded employability skills, including: This learning helps to prepare all students for optional further postgraduate study which may lead to registration as a professional psychologist. Therefore, the aims of ACU's Bachelor of Psychological Science are to: Our graduates will make meaningful contributions to improving the outcomes of clients, customers, colleagues and collaborators in a diverse range of settings including, but not limited to: government departments, private sector, schools, business, and not-for-profit organisations. The Bachelor of Commerce provides excellent grounding in many areas of business as well as detailed knowledge and skills in your selected major – human resource management, management or marketing. Our graduates understand the ethical, social, political and economic contexts that guide decision-making. The Bachelor of Commerce will not only help you launch your business career but also prepare you for future managerial positions."
ATAR/OP not available for new courses.,<strong>Minimum duration</strong> Minimum duration: 4 years full-time or equivalent part-time.,Domestic and International students.,,"


Melbourne  


Strathfield  



",Unit Fee: $3042.00 (2021) Average first year fee: $24336.00 (2021) Estimated Total Cost: $97344.00 (2021),098381E,"Average first year fee:
    $7745 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (58.50) Strathfield  (58.50),Domestic and International students.,Melbourne  (58.50) Strathfield  (58.50),Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_psychological_sciencebachelor_of_exercise_and_sports_science,Bachelor of Psychological Science/Bachelor of Exercise and Sports Science,Campus availability," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Melbourne  Strathfield," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",4 years full-time or equivalent part-time.,098380F,null,"Psychology and exercise science share a common goal of assisting individuals and groups to optimise their functioning and performance, and the combined knowledge of these two disciplines will equip graduates of this double degree to provide high quality services to their clients. Exercise scientists working with clinical populations and high performance athletes will benefit from the knowledge and skills gained from many core topics within psychology, including motivation, emotion, individual differences, psychological disorders, and decision making. ACU's undergraduate psychology programs help students to acquire knowledge, assimilate conceptual understandings and develop skills of application that are valuable to the enhancement of human functioning in a broad range of professional settings. Graduates of the Bachelor of Psychological Science will complete a sequence in psychology that is accredited by the Australian Psychology Accreditation Council (APAC). This sequence will ensure graduates acquire an advanced understanding of human behaviour, as well as highly regarded employability skills, including: The Bachelor of Exercise and Sports Science progresses students from foundation knowledge, understanding and skills in human anatomy, physiology and the sub-disciplines of Exercise Science, into their application in movement, exercise and sporting contexts, such as exercise testing, prescription and delivery. Students are then progressed into authentic learning experiences in which they can integrate their evidence-based learnings and scope of practice in applied, industry-based settings. This professional practice provides students with the opportunity to reflect upon their transition from learning to practitioner. The course has qualifying accreditation status with Exercise and Sports Science Australia. Our graduates will make meaningful contributions to improving the outcomes of clients, customers, colleagues and collaborators in a diverse range of settings including, but not limited to: government departments, private sector, schools, business, and not-for-profit organisations."
ATAR/OP not available for new courses.,5 years full-time or equivalent part-time.,Domestic and International students.,,"


Melbourne  


North Sydney  



",Unit Fee: $3825.00 (2021) Average first year fee: $30600.00 (2021) Estimated Total Cost: $153000.00 (2021),089312D,"Average first year fee:
    $8916 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (58.50) Strathfield  (58.50),Domestic and International students.,Melbourne  (70.00) North Sydney  (70.00),Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_psychological_sciencebachelor_of_laws,Bachelor of Psychological Science/Bachelor of Laws,Campus availability," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Melbourne  Strathfield," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 21-Feb-2022
     #435858",<strong>Minimum duration</strong> Minimum duration: 4 years full-time or equivalent part-time.,098381E,null,"The Bachelor of Psychological Science/Bachelor of Laws combines the study of human behaviour with the study of the law. This double degree is designed to produce well-rounded graduates ready for legal practice and a range of professional careers in an increasingly global environment. As a graduate you can pursue a range of legal careers including private practice as a solicitor or barrister; legal officer in the public sector; in-house counsel for a wide range of organisations including corporations, regulatory authorities and NGOs. You will be well placed to develop specialist legal practice in a wide range of fields including forensic psychology; litigation; terrorism studies; and industrial law and management. The program combines the study of human behaviour with the study of law. The Psychological Science component enhances the student’s specialist knowledge by providing a comprehensive understanding of psychology, including behavioural and mental processes. It offers an Australian Psychology Accreditation Council (APAC) sequence in psychology. As part of this degree you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good."
ATAR/OP not available for new courses.,<strong>Minimum duration:</strong> Minimum duration: 4 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


Strathfield  



",Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $96416.00 (2021),074608M,"Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (58.50) Strathfield  (58.50),Domestic and International students.,Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Melbourne  (70.00) North Sydney  (70.00),https://courses.acu.edu.au/undergraduate/bachelor_of_theologybachelor_of_global_studies,Bachelor of Theology/Bachelor of Global Studies,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Melbourne  North Sydney," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",5 years full-time or equivalent part-time.,089312D," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 26-Jul-2021
     #435872
   #435872
, 21-Feb-2022
     #435872
   #435872
, 18-Jul-2022
     #435872","The Bachelor of Theology/Bachelor of Global Studies is a double degree for people not only interested in theology but also the global social, political, cultural, environmental and economic changes. This course offers an international education, with students recommended to study abroad and/or do an internship that provides international work experience and networks. The Bachelor of Theology/Bachelor of Global Studies offers students with a unique opportunity to study abroad (ACU has over 60 partner institutions around the world), or gain valuable international workplace experience with one of our internship partners. Students will also study the Catholic theological tradition with an ecumenical and inter-faith perspective, as well as its relationship to other traditions and the potential for responding to the demands of the present and future. Students have the opportunity to study a Diploma of Languages in either Spanish or Italian alongside their degree to further enhance their employment opportunities."
ATAR/OP not available for new courses.,5 years full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $3825.00 (2021) Average first year fee: $30600.00 (2021) Estimated Total Cost: $153000.00 (2021),079440A,"Average first year fee:
    $8916 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Melbourne  (70.00) North Sydney  (70.00),Domestic and International students.,Melbourne  (70.00) North Sydney  (70.00),Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/undergraduate/bachelor_of_theologybachelor_of_laws,Bachelor of Theology/Bachelor of Laws,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Brisbane  Melbourne  Strathfield," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",<strong>Minimum duration:</strong> Minimum duration: 4 years full-time or equivalent part-time.,074608M," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","This unique double degree provides a legal education informed by Christian values and an education in theology that is orientated to the professional values and practice of law. The degree focuses on ethical behaviour, social justice, the common good and the law’s interaction with theology. In addition to the wide range of careers open to graduates of the Bachelor of Laws, completion of this double degree is excellent preparation for careers in: As part of this degree you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good."
ATAR/OP not available for new courses.,<span> 4 years full-time or equivalent part-time.</span>,Domestic and International students.,,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


Strathfield  



",Unit Fee: $2925.00 (2021) Average first year fee: $23400.00 (2021) Estimated Total Cost: $93600.00 (2021),089311E,"Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Brisbane  (17/65) Melbourne  (58.50) Strathfield  (58.50),Domestic and International students.,Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),Melbourne  (70.00) North Sydney  (70.00),https://courses.acu.edu.au/undergraduate/bachelor_of_theology_bachelor_of_philosophy,Bachelor of Theology/Bachelor of Philosophy,Campus availability," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",Brisbane  Melbourne  North Sydney," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",5 years full-time or equivalent part-time.,079440A," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 26-Jul-2021
     #435872
   #435872
, 21-Feb-2022
     #435872
   #435872
, 18-Jul-2022
     #435872","This unique double degree provides students with the broad knowledge, skills and flexibility offered by a liberal arts program, but enhanced by a specialised focus on theology and philosophy. Studying theology and philosophy will equip students with an understanding of the foundations of the modern world and Western civilisation, enhancing their ability to critically engage with and respond to the key challenges faced by today's societies, governments and organisations. Global experience is strongly encouraged, with study abroad opportunities available at the ACU Rome Centre, with one of our partner institutions in Europe or the United States, or in Israel with a study tour. Students develop the skills necessary to become attentive and careful interpreters of historical and contemporary texts and contexts, and to critically examine complex and confronting issues. Students also enhance their capacity to evaluate and discriminate between multiple viewpoints, and to develop and articulate compelling arguments – both orally and in writing."
ATAR/OP not available for new courses.,6 months full-time or equivalent part-time.,Domestic and International students.,,"


Brisbane  


Melbourne  


North Sydney  


Strathfield  



",Unit Fee: $2925.00 (2021) Average first year fee: $23400.00 (2021) Estimated Total Cost: $93600.00 (2021),,"Average first year fee:
    $12904 Fee-Paying 

    (indicative only)",Melbourne  (70.00) North Sydney  (70.00),Domestic students only.,,Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),https://courses.acu.edu.au/other_courses/certificate_in_commerce,Certificate in Commerce,Campus availability,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Ballarat  Brisbane  Canberra  Melbourne  Strathfield,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",<span> 4 years full-time or equivalent part-time.</span>,089311E,"(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 26-Jul-2021     #435872   #435872, 21-Feb-2022     #435872   #435872, 18-Jul-2022     #435872","For those ambitious individuals keen to get an entry to a business qualification, but who may not be able to get into university in the usual way, then the Certificate in Commerce could be the answer. You may be able to study at ACU using the Certificate in Commerce as an alternative entry pathway."
ATAR/OP not available for new courses.,6 months full-time or equivalent part-time.,Domestic students only.,,"


Brisbane  


Melbourne  


Strathfield  



",Unit Fee: $2925.00 (2021) Average first year fee: $23400.00 (2021) Estimated Total Cost: $93600.00 (2021),,Average first year fee:    $12904 Fee-Paying     (indicative only),Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),Domestic students only.,,,https://courses.acu.edu.au/other_courses/certificate_in_liberal_arts,Certificate in Liberal Arts,Campus availability,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Brisbane  Melbourne  North Sydney  Strathfield,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",6 months full-time or equivalent part-time.,089311E,"(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 26-Jul-2021     #435872   #435872, 21-Feb-2022     #435872   #435872, 18-Jul-2022     #435872","The Certificate in Liberal Arts normally takes one semester of full-time study or equivalent part-time study. Students completing the Certificate choose 40 cp (four units) from a wide range of Arts disciplines, subject to campus availability. For the discipline areas available, refer to the ACU Bachelor of Arts Course Rules (Arts Sequences).The Certificate is a non-award course."
ATAR/OP not available for new courses.,1 year part-time,Domestic students only.,,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


Strathfield  



",Unit Fee: $2925.00 (2021) Average first year fee: $23400.00 (2021) Estimated Total Cost: $93600.00 (2021),,"Average first year fee:
    $7720 Fee-Paying 

    (indicative only)",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),Domestic students only.,,,https://courses.acu.edu.au/other_courses/certificate_in_philosophy,Certificate in Philosophy,Campus availability,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Brisbane  Melbourne  Strathfield,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",6 months full-time or equivalent part-time.,089311E,"(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 26-Jul-2021     #435872   #435872, 21-Feb-2022     #435872   #435872, 18-Jul-2022     #435872","The Certificate in Philosophy is for those who want to pursue an interest in philosophy or update their existing knowledge. Students can undertake units available in the Bachelor of Theology/Bachelor of Philosophy. The Certificate in Philosophy is an alternative pathway into the Bachelor of Theology/Bachelor of Philosophy for domestic, fee-paying students (credits can be granted for the units already undertaken)."
ATAR/OP not available for new courses.,1 year part-time,Domestic students only.,,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


Strathfield  



",Unit Fee: $2925.00 (2021) Average first year fee: $23400.00 (2021) Estimated Total Cost: $93600.00 (2021),,"Average first year fee:
    $7840 Fee-Paying 

    (indicative only)",Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),Domestic students only.,,,https://courses.acu.edu.au/other_courses/certificate_in_theology,Certificate in Theology,Campus availability,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Ballarat  Brisbane  Canberra  Melbourne  Strathfield,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",1 year part-time,089311E,"(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 26-Jul-2021     #435872   #435872, 21-Feb-2022     #435872   #435872, 18-Jul-2022     #435872","The Certificate in Theology is for those who want to pursue an interest in theology or update their existing knowledge. It also provides an alternative pathway into the Bachelor of Theology for domestic, fee-paying students. Credits can be granted for the units already undertaken."
ATAR/OP not available for new courses.,1 year full-time or equivalent part-time.,Domestic students only.,,"


North Sydney  



",Unit Fee: $2440.00 (2021) Average first year fee: $19520.00 (2021) Estimated Total Cost: $19520.00 (2021),063898J,Average first year fee:    $7840 Fee-Paying     (indicative only),Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),International students only.,,,https://courses.acu.edu.au/other_courses/diploma_in_business_information_systems,Certificate in Theology,Deferment ," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",Ballarat  Brisbane  Canberra  Melbourne  Strathfield,null,1 year part-time,089311E,null,The Diploma in Business Information Systems provides a broad understanding of key commercial and business concepts. It allows students to study units (subjects) in the Bachelor of Information Technology course and acts as an alternative pathway into the Bachelor of Information Technology degree. If you complete this diploma successfully you can then enter the Bachelor degree and be given credit for the units (subjects) you’ve already done. The Diploma in Business Information Systems offers international students: You will also learn about:
ATAR/OP not available for new courses.,1 year full-time or equivalent part-time,International students only.,,"


Brisbane  


Melbourne  


North Sydney  



",Unit Fee: $2440.00 (2021) Average first year fee: $19520.00 (2021) Estimated Total Cost: $19520.00 (2021),072325E,Average first year fee:    $7840 Fee-Paying     (indicative only),Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),International students only.,,,https://courses.acu.edu.au/other_courses/diploma_in_commerce,Certificate in Theology,Deferment ," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 26-Jul-2021
     #435816
   #435816#435900:  
, 21-Feb-2022
     #435816
   #435816#435900:  
, 18-Jul-2022
     #435816",North Sydney," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",1 year full-time or equivalent part-time.,063898J," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","The Diploma in Commerce provides a broad understanding of key commercial and business concepts. It allows students to study units (subjects) in the Bachelor of Commerce course and acts as an alternative pathway into the Bachelor of Commerce, Bachelor of Business Administration or Bachelor of Accounting and Finance degrees.  I f you complete this diploma successfully you can then enter one of those Bachelor degrees.  Furthermore, you will be given credit for the units (subjects) you’ve already done. The Diploma in Commerce offers you: English language classes for international students You will also study units (subjects) such as:"
ATAR/OP not available for new courses.,,International students only.,,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


Online  


Strathfield  



",Unit Fee: $2440.00 (2021) Average first year fee: $19520.00 (2021) Estimated Total Cost: $19520.00 (2021),,Average first year fee:    $7840 Fee-Paying     (indicative only),Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),Domestic students only.,,,https://courses.acu.edu.au/other_courses/postgraduate-cross-institutional_fed,Postgraduate Education and Arts - Cross-institutional Study,Campus availability,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Brisbane  Melbourne  North Sydney,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",1 year full-time or equivalent part-time,072325E,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",If you are enrolled in a program at another university you can apply to study one or more units as a cross-institutional student for credit towards an award at your ‘home’ institution. You must satisfy any unit prerequisites and your enrolment will be subject to all the provisions of the Academic Regulations. If you are enrolled on a cross-institutional basis you will be formally assessed in the units in which you are enrolled just as if you were studying at your ‘home’ institution.
ATAR/OP not available for new courses.,,Domestic students only.,,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


North Sydney  


Strathfield  



",Unit Fee: $2440.00 (2021) Average first year fee: $19520.00 (2021) Estimated Total Cost: $19520.00 (2021),,Average first year fee:    $7840 Fee-Paying     (indicative only),Ballarat  (58.50) Brisbane  (17/65) Canberra  (58.50) Melbourne  (58.50) Strathfield  (58.50),Domestic students only.,,,https://courses.acu.edu.au/other_courses/postgraduate_health_sciences_-_cross-institutional_study,Postgraduate Health Sciences - Cross-institutional Study,Campus availability,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 26-Jul-2021     #435816   #435816#435900:  , 21-Feb-2022     #435816   #435816#435900:  , 18-Jul-2022     #435816",Ballarat  Brisbane  Canberra  Melbourne  Online  Strathfield,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",1 year full-time or equivalent part-time,072325E,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",If you are enrolled in a program at another university you can apply to study one or more units as a cross-institutional student for credit towards an award at your ‘home’ institution. You must satisfy any unit prerequisites and your enrolment will be subject to all the provisions of the Academic Regulations. If you are enrolled on a cross-institutional basis you will be formally assessed in the units in which you are enrolled just as if you were studying at your ‘home’ institution.
