Available to:,Study_Mode,Description,Duration:,Melbourne_International_Start_Date,Available to,Location,Brisbane_International_Start_Date,Domestic_Course_Price,Course,CRICOS:,CRICOS,North_Sydney_International_Start_Date,Website,Location:,Duration,International_Course_Cost
Domestic and International students.,Campus availability,"The Master of Educational Leadership course at the Australian Catholic University is a values underpinned, research driven, practically orientated program designed to support the capabilities of current and aspiring educational leaders wishing to enhance their leadership capacity within the context of their professional settings and the Australian national standards.  Participants explore theories of educational leadership, management and administration, and learn to apply them appropriately to their own contexts including Catholic and faith-based educational organisations defined as those organisations affiliated with a religious group or established Church. Taught by active researchers and experienced practitioners, this course explicitly integrates theory and practice to enable graduates to apply the latest research, and the knowledge and skills to improve their organisations with effective leadership informed by defensible ethical and moral principles. The course has been designed to enable participants with varying leadership and career circumstances to select appropriate units to meet their needs.  Alumni have been successful in gaining promotion and/or admission to doctoral study. The program is flexibly delivered in response to participants’ needs, organisational dynamics and unique contexts. Participants design and implement a leadership project as part of a culminating Capstone. Specialist areas leading to a named specialisation:",1.5 years - 2 years full-time or equivalent part-time.,null,Domestic and International students.,Melbourne  Online," (pos1#435848#435902:  
04-Jan-2021
     (pos1#435848
   #435844#435902:  
, 03-Jan-2022
     #435844","Average first year fee:
    $20394 Fee-Paying 

    (indicative only)",Master of Educational Leadership,"084793M, 099128K","084792A, 099127M",null,https://courses.acu.edu.au/postgraduate/master_of_educational_leadership,"


Melbourne  


Online  



",1.5 years - 2 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $36156.00 (2021)
Domestic and International students.,Campus availability,"This Masters degree will expand your knowledge and skills in administrative and management foundations, while ensuring relevance to contemporary health care provision. Graduates of the Master of Health Administration students will be able to:",1.5 years full-time or equivalent part-time.,null,Domestic and International students.,Melbourne  Online," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","Average first year fee:
    $20004 Fee-Paying 

    (indicative only)",Master of Health Administration,084332G,"084793M, 099128K",null,https://courses.acu.edu.au/postgraduate/master_of_health_administration,"


North Sydney  


Online  



",1.5 years - 2 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $36156.00 (2021)
Domestic students only.,Campus availability,"The Master of Health Professional Education supports the acquisition of evidence-based practice as a framework, to develop clinicians’ knowledge and skills using contemporary learning and teaching strategies. Graduates from this course will have an advanced level of knowledge and skills to educate and lead education of and for health professionals, with the overall intention of improving safe and quality patient care. The course will enable health educators to work across a range of health education settings and the understanding to employ educational strategies relevant to contemporary healthcare workplaces. The course connects theory, practice and research and the structure of the course enables students to undertake studies relevant to their level of professional development and readiness to undertake further studies. It enables students to exit at an earlier level of qualification as well as continue building their knowledge and skills base due to the scaffolding approach of the program. Students can tailor their course by selecting one elective unit focusing on advancing skill and knowledge. Graduates of the Master of Health Professional Education will be able to:",1.5 year full-time or equivalent years part-time.,null,Domestic and International students.,North Sydney  Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","Average first year fee:
    $19468 Fee-Paying 

    (indicative only)",Master of Health Professional Education,,084332G,null,https://courses.acu.edu.au/postgraduate/master_of_health_professional_education,"


Online  



",1.5 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $36156.00 (2021)
Domestic and Overseas applicants.,Campus availability,"The high performance sport industry is a global, multi-billion dollar entity that provides employment opportunities for a vast range of professions. In Australia, there are employment opportunities in professional and semi-professional sport, Australian and state institutes of sport and academies of sport, and other sporting organisations, and these opportunities extend to the international market. At the heart of high performance sport is the conditioning of the athlete, with the aim of optimising individual and team performance for successful outcomes. A professional working in this industry needs to know about testing protocols to assess athlete performance, principles of strength and conditioning, and the technologies available for monitoring and training the high performance athlete. They will need to understand the relationships between fatigue, adaptation, performance and injury, how to acquire meaningful performance data, and how to work within the culture of a high performance industry. The application of this knowledge and understanding to the planning and delivery of meaningful interventions for athletes to enhance performance and reduce the likelihood (and/or duration) of injury and illness, using appropriate techniques of analysis to accurately interpret competition and training information, and using advanced information literacy skills to communicate ideas and outcomes to specialist and non-specialist audiences is essential for a professional working in the high performance sport environment. Professionals in this area also need to be equipped with problem solving and self-management skills that promote independent learning and thinking and for pursuing further learning if they are to maintain relevance in an industry that is, by definition, fiercely competitive and constantly evolving. This course is designed to suit a postgraduate clientele that is already in the workforce, as well as graduating students. The course provides flexible learning pathways that can accommodate: To meet these objectives, the primary design feature is that the majority of the course is delivered in the online mode. A suite of coursework subjects focus on the preparation and performance of high performance athletes, including technological advances for athlete monitoring, strength and conditioning, fatigue, recovery and adaptation, and injury prevention and management. Multidisciplinary and interdisciplinary foci built into the curriculum will bring together current and new knowledge from allied health professions within the industry, for example, sports psychology, skill acquisition, nutrition and dietetics, exercise physiology, physiotherapy, sports medicine and rehabilitation, including a specialist seminar series of guest speakers from sports science and related fields. Issues of leadership, culture, and communication in high performance sport setting area addressed, and a foundation of project design and research skills is incorporated into the program with direct application to high performance sporting contexts. To support these subjects, an intensive on-campus component is incorporated as a four day offering during the course. This component offers students hands-on experience with the latest technology in the industry, while providing the added opportunity to network directly with industry specialists and other students in the course.",1 year full-time or equivalent part-time,null,Domestic students only.,Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","Average first year fee:
    $20272 Fee-Paying 

    (indicative only)",Master of High Performance Sport,,084332G,null,https://courses.acu.edu.au/postgraduate/master_of_high_performance_sport,"


Online  



",1.5 year full-time or equivalent years part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $36156.00 (2021)
Domestic and International students.,Campus availability,"The Master of Information Technology aims to equip you with the updated professional skills in Information and Communications Technology (ICT) and a sound understanding of the integration of computing skills and tools in a modern business environment. In particular, it provides you with a broad skillset in the following areas: All students also have an opportunity to gain business knowledge when selecting business electives. All students are required to apply their learning to workplace- and industry-based projects.",2 years full-time or equivalent part-time,null,Domestic and Overseas applicants.,Online," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","Average first year fee:
    $28000 Fee-Paying 

    (indicative only)",Master of Information Technology,079874G,084332G,null,https://courses.acu.edu.au/postgraduate/master_of_information_technology,"


North Sydney  


Online  



",1 year full-time or equivalent part-time,Unit Fee: $4000.00 (2021) Average first year fee: $32000.00 (2021) Estimated Total Cost: $64000.00 (2021)
Domestic and International students.,Campus availability,"The aim of this course is to prepare graduates to become ethical, effective health leaders and managers who support innovation and who are able to take the lead in strategic development of a range of organisations, leading to culturally safe, resource-efficient health care within local, national and global health contexts. The course has a strong focus on strategic organisational management, leading change in health service delivery, clinical redesign and in being a facilitative leader who is able to engage staff on developing innovative quality improvements. This course will appeal to those who want to develop strong leadership and effective management skills that can be applied across a range of health care environments. The two year course is offered at Master level only with exit options being the Graduate Certificate in Health Administration and the Graduate Diploma in Health Administration.",2 years full-time or equivalent part-time,null,Domestic and International students.,North Sydney  Online," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","Average first year fee:
    $19252 Fee-Paying 

    (indicative only)",Master of Leadership and Management in Health Care,097207E,079874G,null,https://courses.acu.edu.au/postgraduate/master_of_leadership_and_management_in_health_care,"


North Sydney  

 Open Universities Australia

",2 years full-time or equivalent part-time,Unit Fee: $3070.00 (2021) Average first year fee: $24560.00 (2021) Estimated Total Cost: $49120.00 (2021)
Domestic students only.,Campus availability,"The Master of Mental Health aims to expand allied health clinicians’ knowledge and skills in mental health practice and leadership through evidence-based knowledge and practice. Students have the option to pursue a project stream or a research stream within this course. As such, they may complete either a project and two elective subjects, or complete a research dissertation in their final semester. Both streams consolidate learning from the Graduate Certificate in Mental Health and Graduate Diploma in Mental Health in research, specialist clinical skills and knowledge as well as clinical leadership. Graduates of the program should be able to: The first 40 credit points of the course consist of units in the Graduate Certificate in Mental Health; the second 40 credit points of this course are derived from the Graduate Diploma in Mental Health and the final 40 credit points consist of either project or research stream units.",1.5 years full-time or equivalent part-time.,null,Domestic and International students.,North Sydney   Open Universities Australia,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","Average first year fee:
    $20004 Fee-Paying 

    (indicative only)",Master of Mental Health,,097207E,null,https://courses.acu.edu.au/postgraduate/master_of_mental_health,"


Online  



",2 years full-time or equivalent part-time,Unit Fee: $3070.00 (2021) Average first year fee: $24560.00 (2021) Estimated Total Cost: $49120.00 (2021)
Domestic students only.,Campus availability,"The Master of Mental Health Nursing aims to expand nursing clinicians’ knowledge and skills in mental health practice with evidence-based knowledge and practice enabling immediate application/translation in the workplace. Students have the option to pursue a project stream or a research stream within this course. As such, they may complete either a project and two elective subjects, or complete a research dissertation in their final semester. Both streams consolidate learning from the Graduate Certificate in Mental Health Nursing and Graduate Diploma in Mental Health Nursing in research, specialist clinical skills and knowledge as well as clinical leadership.",1.5 years full-time or equivalent part-time.,null,Domestic students only.,Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","Average first year fee:
    $20004 Fee-Paying 

    (indicative only)",Master of Mental Health Nursing,,097207E,null,https://courses.acu.edu.au/postgraduate/master_of_mental_health_nursing,"


Online  



",1.5 years full-time or equivalent part-time.,Unit Fee: $3070.00 (2021) Average first year fee: $24560.00 (2021) Estimated Total Cost: $49120.00 (2021)
,Campus availability,"Situated within the Faculty of Law and Business, the Master of Occupational Health, Safety and Environmental (OHSE) Management provides students with technical competencies in OHSE theory and practice. The course comprises the equivalent of 12 units that will prepare you for a management-level position in OHSE. The Master of OHSEM is accredited with the Australian OHS Education Accreditation Board so graduates may seek certification as an OHS Professional. A Graduate Certificate and Graduate Diploma are available as exit awards from the Master of OHSEM. The course is offered online through Open Universities Australia.",1.5 years full-time or equivalent part-time.,null,Domestic students only.,Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Average first year fee:    $20004 Fee-Paying     (indicative only),Master of Mental Health Nursing,,097207E,null,https://courses.acu.edu.au/postgraduate/master_of_ohse_mgmt,"

 Open Universities Australia

",1.5 years full-time or equivalent part-time.,Unit Fee: $3070.00 (2021) Average first year fee: $24560.00 (2021) Estimated Total Cost: $49120.00 (2021)
Domestic and International students.,Campus availability,The Master of Professional Accounting (MPA) is designed to meet the global demand for high-quality graduates in accounting. The Master of Professional Accounting is extremely popular for a number of reasons: The two-year course can be completed in one year if students have a bachelor degree in business or a related field. The course is ideal for graduates who do not have an undergraduate degree in accountancy and wish to obtain a professional accountancy qualification for a career change. Having a Master’s qualification will provide students with an added advantage over students who have completed a Bachelor degree.,2 years full-time or equivalent part-time," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",Domestic students only.,Open Universities Australia," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844","Average first year fee:
    $28000 Fee-Paying 

    (indicative only)",Master of Professional Accounting,085337E,097207E,null,https://courses.acu.edu.au/postgraduate/master_of_professional_accounting,"


Melbourne  


North Sydney  



",1.5 years full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $32000.00 (2021) Estimated Total Cost: $64000.00 (2021)
Domestic and International students.,Campus availability,"The Master of Professional Psychology (MProfPsych) is a fifth-year program in psychology, open to graduates of an APAC accredited fourth-year psychology program. The MProfPsych program is designed to provide graduates in psychology with an additional year of full-time education in the professional practice of psychology. This year prepares graduates for a final year of supervised practice prior to general registration as a Psychologist. The MProfPsych program provides students with an opportunity to learn and demonstrate their knowledge and skills in the 8 core capabilities and attributes as required to practise psychology. This program includes a simulated practicum unit as well as an external placement which enables students to translate their theoretical knowledge to professional and simulated environments to enhance their skill development. This program offers students the ‘5 + 1’ model to register as a Provisional Psychologist through this supervised practice pathway.",1 year full-time or equivalent part-time,null,Domestic and International students.,Melbourne  North Sydney," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844","Average first year fee:
    $28235 Fee-Paying 

    (indicative only)",Master of Professional Psychology,085312C,085337E,null,https://courses.acu.edu.au/postgraduate/master_of_professional_psychology,"


Melbourne  



",2 years full-time or equivalent part-time,Unit Fee: $3489.00 (2021) Average first year fee: $27912.00 (2021) Estimated Total Cost: $27912.00 (2021)
Domestic students only.,Campus availability,"The new Master of Professional Studies in Theology (MPST) is ideal for Catholic school teachers, and other professionals looking to develop and enhance their leadership capacity, as well as professionals working in Catholic and other Church agencies. Within Catholic organisations there is an identified need for professionals to understand and promote the mission, identity, and ethos of the Catholic Church. The MPST has been developed specifically to address this need. The MPST builds upon existing qualifications and professional experience, and has been designed to develop a deeper level of engagement with the discipline of theology. It provides a rich variety of international study tour opportunities, an ability to specialise in particular discipline areas, as well as a capstone research component.",1.5 years full-time or equivalent part-time.,null,Domestic and International students.,Melbourne,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 21-Feb-2022     #435844","Average first year fee:
    $18128 Fee-Paying 

    (indicative only)",Master of Professional Studies in Theology,,085312C,null,https://courses.acu.edu.au/postgraduate/master_of_professional_studies_in_theology2,"


Adelaide  


Ballarat  


Brisbane  


Canberra  


Melbourne  


Online  


Strathfield  



",1 year full-time or equivalent part-time,Unit Fee: $3489.00 (2021) Average first year fee: $27912.00 (2021) Estimated Total Cost: $27912.00 (2021)
Domestic and International students.,Campus availability,"The Master of Psychology (Clinical) degree at ACU is a two year postgraduate course consisting of academic coursework, practical training in assessment, diagnosis and intervention, and completion of a research project. Successful completion of the course allows registration as a general psychologist and upon completion of an additional period of supervised practice, for area of practice endorsement in clinical psychology with The Psychology Board of Australia. Combined Master of Psychology (Clinical) and Doctor of Philosophy: ACU also offers the Master of Psychology (Clinical)/Doctor of Philosophy which combines professional training within clinical psychology with a research Doctor of Philosophy (PhD). Students interested in this combined degree must first apply for and complete one year of the Master of Psychology (Clinical).  During this year they should consult with their course coordinator to determine their eligibility for the combined degree. Determination of students who meet the requirements to enrol in the combined Master/PhD program, and who will be offered a place, will be the responsibility of the course coordinator in collaboration with the Head of School and ACU Candidature Services.",2 years full-time or equivalent part-time.," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",Domestic students only.,Adelaide  Ballarat  Brisbane  Canberra  Melbourne  Online  Strathfield," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Master of Psychology (Clinical),084338A,085312C,null,https://courses.acu.edu.au/postgraduate/master_of_psychology_clinical,"


Melbourne  


Strathfield  



",1.5 years full-time or equivalent part-time.,Unit Fee: $3489.00 (2021) Average first year fee: $27912.00 (2021) Estimated Total Cost: $55824.00 (2021)
Domestic and International students.,Campus availability,"The Master of Psychology (Ed and Dev) degree at ACU is a two year postgraduate course consisting of academic coursework, practical training in assessment, diagnosis and intervention, lifespan perspective, and completion of a research project. Successful completion of the course allows registration as a general psychologist and eligibility for the two year registrar program, culminating in Psychology Board of Australia (PsyBA) endorsement in Educational & Developmental psychology. Successful completion of the course allows registration as a general psychologist and upon completion of an additional period of supervised practice, for area of practice endorsement in educational and developmental psychology with The Psychology Board of Australia. Combined Master of Psychology (Educational and Developmental) and Doctor of Philosophy: ACU also offers the Master of Psychology (Educational and Developmental)/Doctor of Philosophy which combines professional training within clinical psychology with a research Doctor of Philosophy (PhD). Students interested in this combined degree must first apply for and complete one year of the Master of Psychology (Educational and Developmental).  During this year they should consult with their course coordinator to determine their eligibility for the combined degree. Determination of students who meet the requirements to enrol in the combined Master/PhD program, and who will be offered a place, will be the responsibility of the course coordinator in collaboration with the Head of School and ACU Candidature Services.",2 years full-time or equivalent part-time.,null,Domestic and International students.,Melbourne  Strathfield," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Master of Psychology (Educational and Developmental),084339M,084338A,null,https://courses.acu.edu.au/postgraduate/master_of_psychology_educational_and_developmental,"


Melbourne  



",2 years full-time or equivalent part-time.,Unit Fee: $3489.00 (2021) Average first year fee: $27912.00 (2021) Estimated Total Cost: $55824.00 (2021)
Domestic and International students.,Campus availability,"The Master of Public Health equips graduates with specialised knowledge, understanding and skills in public health to improve and advance population health and well-being.  ACU’s MPH prepares graduates to practice with a community, national or global focus, and with an ethical, social justice perspective. The course enables students to develop advanced and specialised knowledge across the discipline of public health, with an emphasis on evidence-based practice, rigorous intellectual inquiry, innovation and thought leadership, and effective communication and advocacy skills. The curriculum was designed around the Foundation Competencies for MPH Graduates in Australia and the requirements of the Australian Faculty of Public Health Medicine (for medical practitioners specialising in public health). Other international competency and practice standards and competency frameworks have also informed ACU’s curriculum design. Students may choose to complete their Maste through a Research Pathway (undertaking additional research training and completion of a minor thesis) or a Capstone Pathway (involving a capstone experience, such as a practice-based project). Elective units and a specialisation option are also available.",2 years full-time or equivalent part-time.,null,Domestic and International students.,Melbourne," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844","Average first year fee:
    $20272 Fee-Paying 

    (indicative only)",Master of Public Health,089309K,084339M,null,https://courses.acu.edu.au/postgraduate/master_of_public_health,"


Melbourne  

 Open Universities Australia

",2 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $48208.00 (2021)
Domestic and International students.,Campus availability,"ACU’s Master of Public Health equips graduates with specialised knowledge, understanding and skills in public health to improve and advance population health and well-being.  ACU’s MPH prepares graduates to practice with a community, national or global focus, and with an ethical, social justice perspective. A uniquely ACU specialisation, Global health is an increasingly important and active area of work for public health practitioners. If you are planning to focus on global health, our Master of Public Health program offers a specialisation in global health and advocacy during your second year. The Master of Public Health (Global Health and Advocacy) specialisation will give you the knowledge, skills and experience to practice effectively in the evolving professional landscape of global health. This specialisation features a contemporary curriculum designed around the United Nations’ sustainable development goals. In this specialisation, you will extend your core public health knowledge and skills through studying global health, sustainable development, food security, humanitarian assistance and the importance of advocacy in public and global health. By developing advocacy skills, the global health and advocacy specialisation aims to enable graduates to not just implement policies and programs that improve population health, but to actively influence policies and programs and advance population health. Students may choose to complete their Master with specialisation through a Research Pathway (undertaking additional research training and completion of a minor thesis) or a Capstone Pathway (involving a capstone experience, such as a practice-based project).",2 years full-time or equivalent part-time.,null,Domestic and International students.,Melbourne   Open Universities Australia," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844","Average first year fee:
    $20272 Fee-Paying 

    (indicative only)",Master of Public Health (Global Health and Advocacy),090702B,089309K,null,https://courses.acu.edu.au/postgraduate/master_of_public_health_global_health_and_advocacy,"


Melbourne  

 Open Universities Australia

",2 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $48208.00 (2021)
Domestic and International students.,Available specialisations are:,"The Master of Rehabilitation suite of programs aims to provide evidence based advanced studies for health professionals including registered physiotherapists, occupational therapists speech pathologists, nurses and other allied health professionals who seek to extend knowledge and skills in the fields of aged and neurological rehabilitation for promotion and professional recognition, or to return to the workforce. This 120 cp Masters course is structured with a nested Graduate Certificate (40 cp) and Graduate Diploma (80 cp) for the disciplines of physiotherapy, occupational therapy, speech pathology in addition to a non-discipline specific stream. This course includes purposely designed inter-professional coursework units in conjunction with discipline specific streams. Workshop intensives, and application of advanced skills and knowledge within the work-place and other practice settings will enable each discipline to apply highly integrative and evidence based-content to allow the development of advanced skills and practice. Clinicians will use critical appraisal to evaluate strategies and interventions as well as implement optimal programs in their work-place and during an advanced practicum for holistic management and enhanced participation of people with complex aged and neurological disorders. The program culminates with these advanced practicum opportunities and a clinical research project within the discipline and fields of either aged or neurological rehabilitation. Graduates of the Master of Rehabilitation should be able to:",1.5 years full-time or equivalent part-time.,null,Domestic and International students.,Melbourne   Open Universities Australia," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816","Average first year fee:
    $24024 Fee-Paying 

    (indicative only)",Master of Rehabilitation,086188E,090702B,null,https://courses.acu.edu.au/postgraduate/master_of_rehabilitation,"


Brisbane  


Melbourne  


North Sydney  



",2 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $36156.00 (2021)
Domestic students only.,Campus availability,"The Master of Religious Education is for students with a special interest in religious education at school, parish, or diocesan level. It will enable religious educators to become thinkers, researchers, evaluators and leaders in their field. This is a relevant, flexible and challenging Masters degree that produces graduates who can:",1.5 years full-time or equivalent part-time.,null,Domestic and International students.,Brisbane  Melbourne  North Sydney,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 21-Feb-2022     #435816","Average first year fee:
    $18128 Fee-Paying 

    (indicative only)",Master of Religious Education,,086188E,null,https://courses.acu.edu.au/postgraduate/master_of_religious_education,"


Blacktown  


Online  



",1.5 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $36156.00 (2021)
Domestic and International students.,Campus availability,"The Master of Social Work prepares students for practice as professional social workers. This is an Australian Association of Social Workers (AASW) accredited qualification. It is an entry qualification into the social work profession and has been determined to meet the Australian Social Work Education and Accreditation Standards (ASWEAS). The Master of Social Work is a vibrant and challenging program that encourages students to build on their existing knowledge and experience as well as providing a sound understanding of social work values and practice approaches. Throughout the course there is an emphasis on social justice, human rights, and on achieving the best possible outcomes for the most marginalised and disadvantaged members of our community. Students will be taught by leading social work practitioners and academics and there is a strong focus on experiential learning throughout the course.",2 years full-time or equivalent part-time.," (pos1#435834#435901:  

22-Feb-2021

     (pos1#435834
   #435830#435901:  
, 21-Feb-2022
     #435830",Domestic students only.,Blacktown  Online," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Master of Social Work,066741F,086188E," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",https://courses.acu.edu.au/postgraduate/master_of_social_work,"


Brisbane  


Canberra  


Strathfield  



",1.5 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $48208.00 (2021)
Domestic students only.,Campus availability,"Students will develop a wide range of skills, including oral and written communication skills, and the capacity to analyse, reflect critically, evaluate, and bring ethical perspectives to life and work. These skills will prepare them to succeed in areas such as chaplaincy or other church-related careers, administrative roles, or in various other professions for which they are qualified, such as teaching or social work.",2 years full-time or equivalent part-time.,"(pos1#435834#435901:  22-Feb-2021     (pos1#435834   #435830#435901:  , 21-Feb-2022     #435830",Domestic and International students.,Brisbane  Canberra  Strathfield,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 21-Feb-2022     #435816","Average first year fee:
    $18128 Fee-Paying 

    (indicative only)",Master of Theological Studies,,066741F,"(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 21-Feb-2022     #435872",https://courses.acu.edu.au/postgraduate/master_of_theological_studies2,"


Adelaide  


Ballarat  


Blacktown  


Brisbane  


Canberra  


Melbourne  


Online  


Strathfield  



",2 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $48208.00 (2021)
Domestic students only.,Campus availability,"Students will develop a wide range of skills, including oral and written communication skills, and the capacity to analyse, reflect critically, evaluate, and bring ethical perspectives to life and work. These skills will prepare them to succeed in areas such as chaplaincy or other church-related careers, administrative roles, or in various other professions for which they are qualified, such as teaching or social work.",,"(pos1#435834#435901:  22-Feb-2021     (pos1#435834   #435830#435901:  , 21-Feb-2022     #435830",Domestic students only.,Adelaide  Ballarat  Blacktown  Brisbane  Canberra  Melbourne  Online  Strathfield,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 21-Feb-2022     #435816",Average first year fee:    $18128 Fee-Paying     (indicative only),Postgraduate Law and Business - Cross-institutional Study,,066741F,"(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 21-Feb-2022     #435872",https://courses.acu.edu.au/other_courses/postgraduate-cross-institutional_fbu,"


Melbourne  


North Sydney  



",2 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $48208.00 (2021)
Domestic students only.,Campus availability,"The Master of Teaching (Early Childhood and Primary) has been designed to contribute to the education profession by preparing graduates to be accomplished and articulate advocates for the rights and responsibilities of all children within their professional, community, outreach, and research contexts. The Master of Teaching (Early Childhood and Primary) cultivates graduates to be articulate and passionate teachers who are committed to the generation and dissemination of knowledge, skills and attitudes that can facilitate the implementation of high quality early childhood and primary education for all children.",2 years full-time or equivalent part-time.,"(pos1#435834#435901:  22-Feb-2021     (pos1#435834   #435830#435901:  , 21-Feb-2022     #435830",Domestic students only.,Melbourne  North Sydney,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 21-Feb-2022     #435816","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)",Master of Teaching (Early Childhood and Primary),,066741F,"(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 21-Feb-2022     #435872",https://courses.acu.edu.au/postgraduate/master_of_teaching_early_childhood_and_primary,"


Online  



",2 years full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $24104.00 (2021) Estimated Total Cost: $48208.00 (2021)
